wetland,station,n_observations,min_waterLevel,mean_waterLevel,median_waterLevel,max_waterLevel,dur_day,percent_sat,n_events,CV_waterLevel
DB,KW-1W,365,-0.776494178125118,0.19362363161501378,0.395892110431532,0.552188194359497,295,0.8082191780821918,0,95.58459112747454
DB,KW-2E,365,-0.970263639445766,-0.0917495639304531,0.100236110431532,0.256532194359497,275,0.7534246575342466,0,134.33693226923455
DB,KW-3T,365,-1.44775935711859,-0.7345610536347479,-0.588581967526036,-0.346121154013686,0,0,0,47.577459936339324
DB,KW-4U,365,-1.59536380190282,-0.9621385818041385,-0.839204058443765,-0.535874123003737,0,0,0,35.859607928475334
ND,KW-1W,365,-0.639858734110698,0.38322029646840683,0.612859973836221,0.868754614804888,295,0.8082191780821918,0,83.90315132289386
ND,KW-2E,365,-1.05837554688825,-0.06838558033318523,0.166551167836221,0.422445808804888,268,0.7342465753424657,0,124.45091647978971
ND,KW-3T,365,-1.8112839965011,-0.9112387235412573,-0.696862486142982,-0.416419516452803,0,0,0,51.99981080326076
ND,KW-4U,365,-2.22885928643629,-1.3384148433074254,-1.12441972646347,-0.829640801896704,0,0,0,35.159056256613155
QB,KW-1W,365,-0.578592102955023,-0.03940298544168736,0.0507249184709485,0.307804216805981,290,0.7945205479452054,1,122.06816270538214
QB,KW-2E,365,-0.717797268405684,-0.21833262496703607,-0.122249942140274,0.106644796805981,247,0.6767123287671233,2,106.1780943452121
QB,KW-3T,365,-1.01073409890031,-0.5344823550194634,-0.45352673295409,-0.17083815064145,80,0.2191780821917808,5,49.62771777124194
QB,KW-4U,365,-1.50361569215087,-1.0357389575870417,-0.957683607543323,-0.629733811416921,0,0,0,26.432064381868628
TB,KW-1W,364,-0.763300146597862,-0.08285162077703047,0.08928936306489975,0.249182010873259,269,0.739010989010989,0,125.65516575810886
TB,KW-2E,364,-0.925382534374497,-0.28814797153287697,-0.1286847919211635,0.0510620108732585,230,0.6318681318681318,4,111.31287746619952
TB,KW-3T,364,-1.26612533701942,-0.692536498082452,-0.560617618806222,-0.31268758622938,0,0,0,44.74736674340838
TB,KW-4U,364,-1.55727990557971,-1.0785220561677293,-0.9815314822602355,-0.613280461870481,0,0,0,26.91763019840803
