wetland,station,distance,elevation
QB,Center Well,0,0
QB,AIK-A,21.0312,0.432816
QB,AIK-B,27.432,0.646176
QB,AIK-C,33.8328,0.829056
QB,AIK-D,39.9288,1.411224
QB,AIK-E,46.0248,1.524
QB,Upland Well,39.624,1.34112
QB,KW-1W,19.0312,0.39165658
QB,KW-2E,25.8312,0.592816
QB,KW-3T,35.3328,0.972306
QB,KW-4U,44.9288,1.503724
TB,Wetland Well,0,0.039624
TB,Edge of Water,36.576,0.8382
TB,AIK-A,32.6136,0.618744
TB,AIK-B,36.2712,0.816864
TB,AIK-C,40.666416,1.200912
TB,AIK-D,46.3296,1.496568
TB,AIK-E,51.816,1.822704
TB,Upland Well,48.335184,1.594104
TB,KW-1W,32.6136,0.618744
TB,KW-2E,36.2712,0.816864
TB,KW-3T,40.666416,1.200912
TB,KW-4U,47.3296,1.556012444
DB,Center Well,0,0
DB,AIK-A,8.8392,0.521208
DB,AIK-B,13.4112,0.816864
DB,AIK-C,19.2024,1.423416
DB,AIK-D,24.0792,1.588008
DB,AIK-E,29.2608,1.709928
DB,Upland Well,21.9456,1.496568
DB,KW-1W,8.8392,0.521208
DB,KW-2E,13.4112,0.816864
DB,KW-3T,19.2024,1.423416
DB,KW-4U,25.7792,1.628008
ND,Center Well,0,-0.009144
ND,Edge of Water,17.855184,0.932688
ND,AIK-A,12.8016,0.374904
ND,AIK-B,17.855184,0.932688
ND,AIK-C,23.292816,1.542288
ND,AIK-D,28.093416,1.865376
ND,AIK-E,33.2232,2.081784
ND,Upland Well,23.292816,1.542288
ND,KW-1W,10.8016,0.314904
ND,KW-2E,16.3016,0.761212806
ND,KW-3T,22.695184,1.542288
ND,KW-4U,30.342816,1.960270474
